run,task,phase,arch,ticks,readout,transitions,dev_score,state_probe,greedy_dominant_action,entropy_first_quarter,entropy_last_quarter,value_loss_first_quarter,value_loss_last_quarter,clip_fraction_last_quarter,approx_kl_last_quarter,grad_norm_first_quarter,grad_norm_last_quarter,train_success_last_quarter,rollout_dominant_action_last_quarter,curve,curve_peak,curve_final,late_drop,still_rising,wall_seconds,transitions_per_second
catch-ticks-linear-s2,catch,ticks,linear,8,descending,65536,0.95,0.42500000000000004,0.5177083333333333,1.03809518804464,0.5410971684539285,1.628481366214145,1.3687097852538335,0.0002899169921875,7.1909817353854e-05,2.6400925566502704,2.224157702129072,0.7129166666666666,0.40673828125,"[0.8333333333333333, 0.90625, 0.9583333333333334, 0.9479166666666667]",0.9583333333333334,0.9479166666666667,0.01041666666666663,False,26.34689325018553,2487.428000625406
dodge-primary-gru-s0,dodge,primary,gru,4,descending,65536,0.7625,0.0,1.0,1.0895773608948962,0.9822730241394187,0.7709356880166751,1.0391565869223571,0.0,2.3532703388675597e-05,0.9861647940513915,1.5935864115477902,0.8116666666666665,0.53387451171875,"[0.8958333333333334, 0.78125, 0.8958333333333334, 0.8958333333333334]",0.8958333333333334,0.8958333333333334,0.0,True,17.119284750893712,3828.19731978456
dodge-primary-gru-s1,dodge,primary,gru,4,descending,65536,0.8083333333333333,0.0,0.9583333333333334,1.0930023170462242,0.9505456943308992,0.759060600027932,0.923236413086852,0.0,0.00021174578832805827,1.0304079726079038,1.494366209381497,0.799375,0.52520751953125,"[0.8020833333333334, 0.8020833333333334, 0.75, 0.75]",0.8020833333333334,0.75,0.05208333333333337,False,17.125906584900804,3826.7171244400197
dodge-primary-gru-s2,dodge,primary,gru,4,descending,65536,0.7708333333333333,0.0,1.0,1.0675787678593034,0.6708124857188742,0.812828967061308,0.9270435079577427,0.0,6.667221232877667e-05,1.0728917794329347,1.569056568779965,0.7987499999999998,0.76104736328125,"[0.75, 0.75, 0.75, 0.75]",0.75,0.75,0.0,True,17.768237710057292,3688.379290586871
dodge-primary-linear-s0,dodge,primary,linear,4,descending,65536,0.9583333333333334,0.5,0.4895833333333333,1.0670568654035635,0.9184567850076375,1.8601563185154157,2.0002114756627085,0.000946044921875,0.00014718571663429353,2.839227341321943,2.7294272218910214,0.8866666666666666,0.36468505859375,"[0.875, 0.8854166666666667, 0.90625, 0.9375]",0.9375,0.9375,0.0,True,13.27768724685302,4935.79934378503
dodge-primary-linear-s1,dodge,primary,linear,4,descending,65536,0.9375,0.625,0.33958333333333335,1.0693026270611372,0.9565676913704773,1.9541060562445327,1.8980074092276347,0.001556396484375,0.00017680312239455319,2.844717318278594,2.727654064874014,0.8835416666666667,0.3463134765625,"[0.90625, 0.9270833333333334, 0.9375, 0.9479166666666667]",0.9479166666666667,0.9479166666666667,0.0,True,13.313339791784529,4922.581487812797
dodge-primary-linear-s2,dodge,primary,linear,4,descending,65536,0.9291666666666668,0.22499999999999998,0.43125,1.0686344699060046,0.9220402915990771,1.982391272362244,2.023891288629844,0.0020751953125,0.0002467335606604234,2.8894101765957956,2.7329614869507113,0.8870833333333332,0.36865234375,"[0.9270833333333334, 0.90625, 0.84375, 0.9166666666666667]",0.9270833333333334,0.9166666666666667,0.01041666666666663,False,13.3046964147361,4925.779435854938
dodge-primary-mlp-s0,dodge,primary,mlp,4,descending,65536,0.8625,0.0,1.0,1.0958406451933989,0.7095705247929451,1.219516373918802,1.2696124611952169,1.52587890625e-05,6.769566206868447e-05,1.28011176152115,1.9156989882748747,0.7972916666666666,0.73089599609375,"[0.7708333333333333, 0.78125, 0.78125, 0.78125]",0.78125,0.78125,0.0,True,15.495314707688522,4229.407484539963
dodge-primary-mlp-s1,dodge,primary,mlp,4,descending,65536,0.7916666666666667,0.0,1.0,1.0951300643651032,0.5350786771631291,1.2605878464780245,1.1200036593247271,0.0,3.948457121827811e-05,1.3546062494491373,2.027194400963059,0.81375,0.83575439453125,"[0.7708333333333334, 0.7708333333333334, 0.7708333333333334, 0.7708333333333334]",0.7708333333333334,0.7708333333333334,0.0,True,15.469460291787982,4236.476177180532
dodge-primary-mlp-s2,dodge,primary,mlp,4,descending,65536,0.7708333333333333,0.0,1.0,1.0821018370391036,0.613927107864539,1.3496522095780337,1.2043452409697435,0.0,2.4845125689418377e-05,1.4117106009714597,1.8974876180863742,0.7922916666666666,0.786865234375,"[0.7604166666666666, 0.75, 0.75, 0.75]",0.7604166666666666,0.75,0.01041666666666663,False,15.729523048212286,4166.432751910325
